horse_id,horse_avg_order_3,horse_avg_order_5,horse_avg_last3f_3,horse_avg_last3f_5,horse_win_rate_dist,horse_win_rate_venue,horse_win_rate_surface
2021103444,11.0,8.5,37.43333333333334,37.525,0.3333333333333333,0.0,0.25
2021103445,12.0,12.0,37.25,37.25,,,0.0
2021103447,12.5,12.5,35.4,35.4,,0.0,0.0
2021103448,8.333333333333334,8.2,38.0,38.16,0.0,0.0,0.0
2021103449,12.0,7.8,35.6,35.220000000000006,0.0,0.0,0.1111111111111111
2021103454,11.666666666666666,10.6,36.3,37.3,0.0,0.0,0.0
2021103455,8.5,8.5,39.3,39.3,0.0,0.0,0.0
2021103458,,,,,,,
2021103460,14.666666666666666,14.666666666666666,36.4,36.4,0.0,0.0,0.0
2021103464,,,,,,,
2021103465,10.0,9.8,38.7,38.7,0.0,0.0,0.0
2021103466,8.0,6.0,37.73333333333333,37.86,0.0,0.0,0.0
2021103468,14.0,14.0,38.8,38.8,,,
2021103469,9.333333333333334,9.333333333333334,39.96666666666666,39.96666666666666,0.0,0.0,0.0
2021103470,13.0,13.0,38.5,38.5,,,0.0
2021103472,,,,,,,
2021103474,7.5,7.75,40.6,40.975,0.0,0.0,0.0
2021103475,11.0,9.75,39.06666666666666,38.525,0.0,0.0,0.0
2021103477,4.0,4.0,37.2,37.2,0.0,,0.0
2021103478,5.333333333333333,3.6,34.6,34.54,0.5,0.3333333333333333,0.4
2021103480,5.333333333333333,5.4,38.900000000000006,39.540000000000006,0.3333333333333333,0.5,0.1428571428571428
2021103481,7.0,5.4,38.333333333333336,38.72,0.2,0.2,0.1428571428571428
2021103482,11.0,11.0,37.75,37.75,0.0,0.0,0.0
2021103484,6.666666666666667,5.0,39.03333333333333,38.06,0.0,0.5,0.0833333333333333
2021103485,10.5,10.5,37.650000000000006,37.650000000000006,0.0,0.0,0.0
2021103486,1.6666666666666667,1.6,34.23333333333333,34.480000000000004,0.3333333333333333,0.3333333333333333,0.3333333333333333
2021103487,,,,,,,
2021103488,11.666666666666666,9.0,36.333333333333336,36.4,0.0,0.0,0.0
2021103489,11.0,10.25,40.766666666666666,40.225,0.0,0.0,0.0
2021103490,8.333333333333334,9.75,36.8,36.625,0.0,0.0,0.0
2021103492,15.0,15.0,41.5,41.5,0.0,0.0,0.0
2021103493,4.333333333333333,4.0,35.76666666666667,35.475,0.0,0.0,0.0
2021103494,10.0,10.0,41.7,41.7,0.0,0.0,0.0
2021103496,11.666666666666666,12.25,38.7,38.15,0.0,0.0,0.0
2021103497,7.0,7.0,41.1,41.1,0.0,,0.0
2021103500,3.0,3.0,38.25,38.25,0.0,,0.5
2021103502,5.333333333333333,8.2,39.333333333333336,38.26,0.0,0.0,0.0
2021103504,7.0,6.2,36.833333333333336,36.14,1.0,0.0,0.25
2021103505,4.0,5.4,35.13333333333333,34.760000000000005,0.0,0.0,0.0
2021103506,9.333333333333334,8.4,37.7,37.34,0.0,0.0,0.0
2021103507,9.0,8.4,39.06666666666666,38.92,0.0,0.0,0.0
2021103508,11.5,11.5,39.0,39.0,0.0,,0.0
2021103510,11.5,11.5,38.0,38.0,0.0,0.0,0.0
2021103511,9.0,9.0,40.0,40.0,0.0,0.0,0.0
2021103512,3.333333333333333,3.6,37.2,38.1,0.0,0.0,0.5
2021103513,6.0,4.8,36.03333333333333,35.82,0.0,0.0,0.25
2021103515,13.666666666666666,13.8,42.03333333333334,40.48,0.0,0.0,0.0
2021103516,7.666666666666667,8.6,37.46666666666667,36.68,0.0,0.0,0.0
2021103517,10.0,10.0,38.45,38.45,0.0,,0.0
2021103518,5.666666666666667,6.4,37.43333333333334,36.8,0.1666666666666666,0.0,0.1428571428571428
2021103519,2.333333333333333,2.4,34.833333333333336,34.54,1.0,0.0,0.2857142857142857
2021103520,5.666666666666667,5.8,34.03333333333333,34.58,0.25,0.0,0.1
2021103521,13.0,13.0,39.9,39.9,,0.0,0.0
2021103523,12.0,11.4,40.76666666666667,38.84,0.0,0.0,0.0
2021103524,11.0,11.0,39.3,39.3,,,0.0
2021103525,3.333333333333333,4.4,39.46666666666667,39.04,0.5,0.25,0.25
2021103526,8.0,9.25,37.53333333333334,38.175,0.0,0.0,0.0
2021103527,9.0,9.4,37.8,38.64,0.0,0.0,0.0
2021103528,5.666666666666667,4.4,38.2,37.96,0.0,0.0,0.0
2021103529,6.0,7.8,36.26666666666667,37.1,0.25,0.0,0.125
2021103530,8.5,8.5,40.5,40.5,0.0,0.0,0.0
2021103531,7.333333333333333,8.4,39.4,38.58,0.0,0.0,0.0
2021103532,11.333333333333334,9.4,38.333333333333336,37.7,0.2,1.0,0.25
2021103533,8.0,7.4,36.46666666666667,37.68,0.0,0.0,0.0
2021103534,3.333333333333333,3.5,35.43333333333333,35.3,0.3333333333333333,0.5,0.25
2021103535,12.0,8.2,35.56666666666666,35.34,0.0,0.5,0.2
2021103536,10.666666666666666,10.0,36.03333333333333,36.6,0.0,0.0,0.0
2021103537,6.333333333333333,5.0,35.1,35.04,0.0,1.0,0.125
2021103540,10.0,8.4,36.3,36.14,0.0,0.0,0.0
2021103542,12.0,12.0,36.76666666666667,36.76666666666667,0.0,0.0,0.0
2021103544,4.666666666666667,7.2,36.8,36.34,0.0,0.0,0.0
2021103545,8.0,7.0,37.766666666666666,37.5,0.0,0.0,0.0
2021103546,6.666666666666667,5.5,38.7,38.475,0.0,0.0,0.0
2021103547,13.5,13.5,40.85,40.85,,0.0,0.0
2021103548,13.0,12.2,35.1,35.379999999999995,0.0,0.0,0.0
2021103549,10.0,8.2,38.36666666666667,38.16,0.0,0.0,0.0
2021103550,6.666666666666667,6.2,37.8,37.58,0.0,0.0,0.0
2021103551,10.333333333333334,11.2,35.36666666666667,35.9,0.0,0.0,0.0
2021103552,13.333333333333334,12.2,36.96666666666667,36.9,0.1428571428571428,0.5,0.2
2021103554,12.0,12.2,37.8,38.040000000000006,0.0,0.0,0.0
2021103555,2.333333333333333,3.4,35.63333333333333,35.779999999999994,0.0,0.0,0.1666666666666666
2021103556,5.666666666666667,8.4,35.0,36.76,0.6666666666666666,0.0,0.4
2021103557,3.333333333333333,4.6,35.66666666666667,36.540000000000006,0.5,0.0,0.25
2021103558,,,,,,,
